Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
all_features,PT_PT,fold_7,recall,"0,1076923076923077","0,18461538461538463","0,14615384615384616","0,14615384615384616","0,14615384615384616"
all_features,PT_PT,fold_7,f1-score,"0,11200000000000002","0,17777777777777778","0,14615384615384616","0,1448888888888889","0,1448888888888889"
all_features,PT_PT,fold_7,support,"65,0","65,0","0,14615384615384616","130,0","130,0"
all_features,PT_PT,fold_8,precision,"0,0967741935483871","0,1323529411764706","0,11538461538461539","0,11456356736242884","0,11456356736242886"
all_features,PT_PT,fold_8,recall,"0,09230769230769231","0,13846153846153847","0,11538461538461539","0,11538461538461539","0,11538461538461539"
all_features,PT_PT,fold_8,f1-score,"0,09448818897637795","0,13533834586466165","0,11538461538461539","0,1149132674205198","0,1149132674205198"
all_features,PT_PT,fold_8,support,"65,0","65,0","0,11538461538461539","130,0","130,0"
all_features,PT_PT,fold_9,precision,"0,1780821917808219","0,08771929824561403","0,13846153846153847","0,13290074501321797","0,13290074501321797"
all_features,PT_PT,fold_9,recall,"0,2","0,07692307692307693","0,13846153846153847","0,13846153846153847","0,13846153846153847"
all_features,PT_PT,fold_9,f1-score,"0,18840579710144928","0,0819672131147541","0,13846153846153847","0,1351865051081017","0,13518650510810168"
all_features,PT_PT,fold_9,support,"65,0","65,0","0,13846153846153847","130,0","130,0"
bert,PT_BR,fold_0,precision,"0,6904761904761905","0,6452599388379205","0,6649395509499136","0,6678680646570555","0,6679071115064841"
